failed to get console mode for stdout: The handle is invalid.
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.158267673Z level=info msg=starting module=plugins.store
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.158285674Z level=info msg=starting module=plugin.backgroundinstaller
grafana-1  | logger=plugin.backgroundinstaller t=2026-03-21T15:56:43.158322874Z level=info msg="Plugins installed" plugins=[]
grafana-1  | logger=plugin.backgroundinstaller t=2026-03-21T15:56:43.158344475Z level=info msg="Installing plugins" plugins="[{ID:grafana-pyroscope-app Version: URL:} {ID:grafana-exploretraces-app Version: URL:} {ID:grafana-metricsdrilldown-app Version: URL:} {ID:grafana-lokiexplore-app Version: URL:}]"
grafana-1  | logger=backgroundsvcs.managerAdapter t=2026-03-21T15:56:43.158455977Z level=info msg=starting module=provisioning
grafana-1  | logger=provisioning.alerting t=2026-03-21T15:56:43.159161992Z level=info msg="starting to provision alerting"
grafana-1  | logger=provisioning.alerting t=2026-03-21T15:56:43.159186093Z level=info msg="finished to provision alerting"
grafana-1  | logger=dashboard-service t=2026-03-21T15:56:43.159417498Z level=info msg="not eligible for automated cleanup" reason="no provisioned dashboards"
grafana-1  | logger=bleve-backend namespace=default group=dashboard.grafana.app resource=dashboards size=0 reason=search t=2026-03-21T15:56:43.162022054Z level=info msg="Building index using memory"
grafana-1  | logger=bleve-backend namespace=default group=dashboard.grafana.app resource=dashboards size=0 reason=search t=2026-03-21T15:56:43.162711068Z level=info msg="Finished building index" elapsed=650.014??s listRV=1774032205584016
grafana-1  | logger=bleve-backend namespace=default group=dashboard.grafana.app resource=dashboards size=0 reason=search t=2026-03-21T15:56:43.162747569Z level=info msg="Storing index in cache" key="{Namespace:default Group:dashboard.grafana.app Resource:dashboards}" expiration=2026-03-21T16:06:43.162746469Z
grafana-1  | logger=provisioning.dashboard t=2026-03-21T15:56:43.201300695Z level=info msg="starting to provision dashboards"
grafana-1  | logger=provisioning.dashboard t=2026-03-21T15:56:43.201330396Z level=info msg="finished to provision dashboards"
